"id","spot_id","tag_id","created_at","updated_at"
92,110,1,"2021-02-18 16:39:52.323298","2021-02-18 16:39:52.323298"
93,1069,6,"2021-02-18 16:58:27.42558","2021-02-18 16:58:27.42558"
94,96,1,"2021-02-18 17:08:57.204782","2021-02-18 17:08:57.204782"
95,1382,1,"2021-02-18 17:13:22.131107","2021-02-18 17:13:22.131107"
97,533,9,"2021-02-18 17:28:27.964487","2021-02-18 17:28:27.964487"
98,844,6,"2021-02-18 17:28:53.092042","2021-02-18 17:28:53.092042"
103,1767,6,"2021-02-18 17:49:46.723141","2021-02-18 17:49:46.723141"
106,1354,6,"2021-02-18 18:21:05.175283","2021-02-18 18:21:05.175283"
107,1480,6,"2021-02-18 18:32:15.530376","2021-02-18 18:32:15.530376"
109,1316,7,"2021-02-18 18:46:43.636154","2021-02-18 18:46:43.636154"
111,1311,9,"2021-02-18 18:49:31.362856","2021-02-18 18:49:31.362856"
114,2271,2,"2021-02-19 01:10:12.109529","2021-02-19 01:10:12.109529"
116,2260,7,"2021-02-19 01:21:31.950694","2021-02-19 01:21:31.950694"
119,2221,6,"2021-02-19 01:54:37.886062","2021-02-19 01:54:37.886062"
130,1077,7,"2021-03-31 17:36:14.102598","2021-03-31 17:36:14.102598"
131,1626,1,"2021-03-31 18:14:28.756453","2021-03-31 18:14:28.756453"
132,1750,6,"2021-03-31 18:45:17.553348","2021-03-31 18:45:17.553348"
133,1081,1,"2021-03-31 20:45:59.10916","2021-03-31 20:45:59.10916"
134,389,6,"2021-03-31 22:31:13.749895","2021-03-31 22:31:13.749895"
135,1007,6,"2021-03-31 22:48:56.906114","2021-03-31 22:48:56.906114"
136,1873,7,"2021-03-31 23:00:29.046589","2021-03-31 23:00:29.046589"
137,1384,6,"2021-03-31 23:19:34.591485","2021-03-31 23:19:34.591485"
138,1384,7,"2021-03-31 23:19:39.637705","2021-03-31 23:19:39.637705"
139,680,1,"2021-03-31 23:24:58.224109","2021-03-31 23:24:58.224109"
140,429,7,"2021-03-31 23:43:38.951844","2021-03-31 23:43:38.951844"
141,1355,7,"2021-04-01 01:14:54.292756","2021-04-01 01:14:54.292756"
142,989,6,"2021-04-01 01:24:45.715639","2021-04-01 01:24:45.715639"
143,546,1,"2021-04-01 01:48:53.38858","2021-04-01 01:48:53.38858"
144,2118,7,"2021-04-01 01:51:39.224175","2021-04-01 01:51:39.224175"
145,794,6,"2021-04-01 02:03:08.853515","2021-04-01 02:03:08.853515"
146,29,1,"2021-04-01 02:16:02.701023","2021-04-01 02:16:02.701023"
147,2346,6,"2021-04-01 02:19:27.864921","2021-04-01 02:19:27.864921"
148,1618,7,"2021-04-01 02:35:52.340989","2021-04-01 02:35:52.340989"
